ID,the_geom,NAME,TEL,URL,ADRESS1,ADDRESS2,CITY,ZIP,DESCRIP,MON,TUE,WED,THUR,FRI,SAT,SUN,IMG
1,POINT (-74.01375579519738 40.703816216918035),Alexander Hamilton U.S. Custom House,(212) 514-3700,http://www.oldnycustomhouse.gov/,1 Bowling Grn,,New York,10004,Circa-1907 National Historic Landmark housing the Museum of the American Indian & a federal court.,7:00 AM - 5:00 PM,7:00 AM - 5:00 PM,7:00 AM - 5:00 PM,7:00 AM - 5:00 PM,7:00 AM - 5:00 PM,closed,closed,http://papers.co/wallpaper/papers.co-be17-building-old-art-illustration-36-3840x2400-4k-wallpaper.jpg
2,POINT (-74.06303178855111 40.615120837755356),Alice Austen House Museum,(718) 816-4506,http://www.aliceausten.org/,2 Hylan Blvd,,Staten Island,10305,"The Alice Austen House, also known as Clear Comfort, is located at 2 Hylan Boulevard in the Rosebank section of Staten Island, New York City, New York.",closed,11:00 AM - 4:00 PM,11:00 AM - 4:00 PM,11:00 AM - 4:00 PM,11:00 AM - 4:00 PM,11:00 AM - 4:00 PM,11:00 AM - 4:00 PM,http://papers.co/wallpaper/papers.co-vg25-prudential-jason-art-building-city-pattern-36-3840x2400-4k-wallpaper.jpg
3,POINT (-73.94729768541572 40.833853500753314),American Academy of Arts and Letters,(212) 368-5900,http://www.artsandletters.org/,633 W. 155th St.,,New York,10032,"The American Academy of Arts and Letters is an honor society of the country's 250 leading architects, artists, composers, and writers.",9:30 AM - 5:00 PM,9:30 AM - 5:00 PM,9:30 AM - 5:00 PM,9:30 AM - 5:00 PM,9:30 AM - 5:00 PM,1:00 - 4:00 PM,1:00 - 4:00 PM,http://papers.co/wallpaper/papers.co-ba32-building-red-pattern-illustration-art-36-3840x2400-4k-wallpaper.jpg
4,POINT (-73.97810302110001 40.76162497138548),American Folk Art Museum,(212) 265-1040,http://www.folkartmuseum.org/,45 West 53rd Street,,New York,10019,The American Folk Art Museum is the premier institution devoted to the aesthetic appreciation of folk art and creative expressions of contemporary self-taught artists from the United States and abroad.,closed,11:30 AM - 7:00 PM,11:30 AM - 7:00 PM,11:30 AM - 7:00 PM,11:30 AM - 7:00 PM,11:30 AM - 7:00 PM,12:00 - 6:00 PM,http://papers.co/wallpaper/papers.co-vx19-texture-wallpapers-pattern-background-bw-dark-36-3840x2400-4k-wallpaper.jpg
5,POINT (-73.97364816377815 40.78082623457644),American Museum of Natural History,(212) 769-5100,http://www.amnh.org/,Central Park West at 79th Street,,New York,10024,"The American Museum of Natural History, located on the Upper West Side of Manhattan, New York City, is one of the largest museums in the world.",10:00 AM - 5:45 PM,10:00 AM - 5:45 PM,10:00 AM - 5:45 PM,10:00 AM - 5:45 PM,10:00 AM - 5:45 PM,10:00 AM - 5:45 PM,10:00 AM - 5:45 PM,http://papers.co/wallpaper/papers.co-aw93-anime-illustration-art-arseniy-chebynkin-office-flare-36-3840x2400-4k-wallpaper.jpg
6,POINT (-74.00701187920873 40.72352659262823),American Numismatic Society,(212) 571-4470,http://www.numismatics.org/,75 Varick St,11th Floor,New York,10013,Museum & research center devoted to coins from all periods & cultures offering rotating exhibits.,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,closed,closed,http://papers.co/wallpaper/papers.co-vz02-simple-wall-bw-dark-pattern-background-36-3840x2400-4k-wallpaper.jpg
8,POINT (-73.99963036903092 40.721127449476676),Anne Frank Center USA,(212) 431-7993,http://www.annefrank.com/,38 Crosby Street,5th Floor,New York,10012,"The Anne Frank Center for Mutual Respect is a nonprofit organization with a focus on civil and human rights activism in the United States. The group's stated objective is to advocate ""for the kinder and fairer world of which Anne Frank dreamed.""",closed,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,closed,http://papers.co/wallpaper/papers.co-bc13-character-guy-art-illustration-36-3840x2400-4k-wallpaper.jpg
9,POINT (-73.96428395726613 40.76983378265351),Asia Society,(212) 288-6400,http://www.asiasociety.org/,725 Park Avenue,,New York,10021,"Asian cultural center offering events, talks, performances & an art museum with diverse exhibitions.",closed,11:00 AM - 6:00 PM,11:00 AM - 6:00 PM,11:00 AM - 6:00 PM,11:00 AM - 6:00 PM,11:00 AM - 6:00 PM,11:00 AM - 6:00 PM,http://papers.co/wallpaper/papers.co-vy04-lake-night-romantic-pattern-background-36-3840x2400-4k-wallpaper.jpg
11,POINT (-73.80557949995756 40.87177831678272),Bartow-Pell Mansion,(718) 885-1461,http://bartowpellmansionmuseum.org/index.php,895 Shore Road,Pelham Bay Park,Bronx,10464,"A National Historic Landmark, it has one of the nation's finest Greek Revival interiors, and is the last surviving major mid-19th century country estate house in the Pelham Bay area.",closed,closed,12:00 - 4:00 PM,closed,closed,12:00 - 4:00 PM,12:00 - 4:00 PM,http://papers.co/wallpaper/papers.co-nd20-city-street-light-blue-night-car-flare-36-3840x2400-4k-wallpaper.jpg
12,POINT (-73.82489046385625 40.762886331946646),Bowne House,(718) 359-0528,http://www.bownehouse.org/,37-01 Bowne Street,,Queens,11354,"The Bowne House is the best-preserved example of Anglo-Dutch vernacular residential architecture in the country, and it continues to occupy its original site.",closed,closed,closed,1:00 - 4:15 PM,closed,closed,closed,http://papers.co/wallpaper/papers.co-nt99-skyview-street-nature-36-3840x2400-4k-wallpaper.jpg
14,POINT (-73.91975017724828 40.83102977992849),Bronx Museum of the Arts (BXMA),(718) 681-6000,http://www.bronxmuseum.org/,1040 Grand Concourse,,Bronx,10456,"Specializing in contemporary art by New Yorkers of Latin, Asian & African-American descent.",closed,closed,1:00 - 6:00 PM,1:00 - 6:00 PM,11:00 AM - 8:00 AM,11:00 AM - 6:00 PM,11:00 AM - 6:00 PM,http://papers.co/wallpaper/papers.co-aw35-earthview-sea-city-nature-art-36-3840x2400-4k-wallpaper.jpg
15,POINT (-73.94401601383748 40.67450699609931),Brooklyn Children's Museum,(718) 735-4400,http://www.brooklynkids.org/,145 Brooklyn Avenue,,Brooklyn,11213,"Founded in 1899, it is the first museum in the United States, and according to some, the first one worldwide that caters specifically to children.",closed,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,http://papers.co/wallpaper/papers.co-nu84-city-night-view-hongkong-nature-36-3840x2400-4k-wallpaper.jpg
17,POINT (-73.96358506797661 40.67108321212629),Brooklyn Museum,(718) 638-5000,http://www.brooklynmuseum.org/,200 Eastern Parkway,,Brooklyn,11238,"American art is heavily represented, starting at the Colonial period. The museum also has a ""Memorial Sculpture Garden"" that features salvaged architectural elements.",closed,closed,11:00 AM - 6:00 PM,11:00 AM - 10:00 PM,11:00 AM - 6:00 PM,11:00 AM - 11:00 PM,11:00 AM - 6:00 PM,http://papers.co/wallpaper/papers.co-nv24-home-mac-computer-holiday-window-nature-36-3840x2400-4k-wallpaper.jpg
19,POINT (-73.97727391968168 40.78587092106756),Children's Museum of Manhattan,(212) 721-1234,http://www.cmom.org/,212 West 83rd Street,,New York,10024,"we're a destination for delight, discovery, and learning! We create experiences at the intersection of the arts, sciences, and humanities to ensure children thrive at home, at school, and in the community.",closed,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 7:00 PM,10:00 AM - 5:00 PM,http://papers.co/wallpaper/papers.co-bd09-city-dark-apartment-pattern-art-illustration-36-3840x2400-4k-wallpaper.jpg
20,POINT (-73.99883836090484 40.72074946881006),Children's Museum of the Arts,(212) 274-0986,http://cmany.org/intro.php?pn=home,182 Lafayette Street,,New York,10012,"As part of its mission to promote art for all children, CMA features programs and partnerships designed for children with learning disabilities, children in foster care, and children in homeless families.",12:00 - 5:00 PM,closed,closed,12:00 - 6:00 PM,12:00 - 6:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,http://papers.co/wallpaper/papers.co-nv81-city-asia-car-street-nature-36-3840x2400-4k-wallpaper.jpg
21,POINT (-73.93173408706043 40.86492363574811),Cloisters,(212) 923-3700,http://www.metmuseum.org/cloisters/,99 Margaret Corbin Drive,,New York,10040,"The Cloisters is a museum in Fort Tryon Park in Upper Manhattan, New York City specializing in European medieval architecture, sculpture and decorative arts, with a focus on the Romanesque and Gothic periods.",10:00 AM - 4:45 PM,10:00 AM - 4:45 PM,10:00 AM - 4:45 PM,10:00 AM - 4:45 PM,10:00 AM - 4:45 PM,10:00 AM - 4:45 PM,10:00 AM - 4:45 PM,http://papers.co/wallpaper/papers.co-mq98-city-building-art-flare-36-3840x2400-4k-wallpaper.jpg
22,POINT (-73.97985598415269 40.57526324252061),Coney Island Museum,(718) 372-5159,http://www.coneyisland.com/,1208 Surf Ave,,Brooklyn,11224,"Coney Island USA exists to defend the honor of American popular culture through innovative exhibitions and performances. Presenting and producing exciting new works, our approach is rooted in mass culture and the traditions of P.T. Barnum, dime museums, burlesque, circus sideshows, vaudeville, and Coney Island itself. ",closed,closed,12:00 - 6:00 PM,12:00 - 6:00 PM,12:00 - 6:00 PM,12:00 - 6:00 PM,2:00 - 6:00 PM,http://papers.co/wallpaper/papers.co-aw49-arseniy-chebynkin-music-room-piano-illustration-art-blue-36-3840x2400-4k-wallpaper.jpg
23,POINT (-73.95778161975461 40.78432573993682),"Cooper-Hewitt, National Design Museum",(212) 849-8400,http://www.cooperhewitt.org/,2 East 91st Street,,New York,10128,"Cooper Hewitt, Smithsonian Design Museum is a design museum located in the Upper East Side's Museum Mile in Manhattan, New York City. It is the only museum in the United States devoted to historical and contemporary design.",10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 9:00 PM,10:00 AM - 6:00 PM,http://papers.co/wallpaper/papers.co-ar79-rainning-illustration-anime-art-nature-flare-36-3840x2400-4k-wallpaper.jpg
24,POINT (-73.97304190142106 40.76210697296256),Dahesh Museum,(212) 759-0606,http://www.daheshmuseum.org,580 Madison Avenue,,New York,10022,The Dahesh Museum of Art is the only museum in the United States devoted to the collection and exhibition of European academic art of the 19th and 20th century.,closed,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,http://papers.co/wallpaper/papers.co-bc38-arsenic-painting-blue-room-art-illustration-36-3840x2400-4k-wallpaper.jpg
27,POINT (-74.00290417204171 40.72245118852784),Drawing Center,(212) 219-2166,http://www.drawingcenter.org/about_visit.cfm,35 Wooster St.,,New York,10013,"The Drawing Center is a Manhattan, New York, museum and a nonprofit exhibition space that focuses on the exhibition of drawings, both historical and contemporary.",closed,closed,12:00 - 6:00 PM,12:00 - 8:00 PM,12:00 - 6:00 PM,12:00 - 6:00 PM,12:00 - 6:00 PM,http://papers.co/wallpaper/papers.co-bb14-architecture-minimal-red-illustration-art-hot-36-3840x2400-4k-wallpaper.jpg
28,POINT (-73.92383914748758 40.86713092093551),Dyckman Farmhouse,(212) 304-9422,http://www.dyckmanfarmhouse.org/,4881 Broadway,,New York,10034,"The Dyckman House, now the Dyckman Farmhouse Museum, is the oldest remaining farmhouse on Manhattan island, a reminder of New York City's rural past.",closed,closed,closed,closed,11:00 AM - 4:00 PM,11:00 AM - 4:00 PM,closed,http://papers.co/wallpaper/papers.co-nv37-bubble-hand-bridge-city-nature-36-3840x2400-4k-wallpaper.jpg
29,POINT (-73.99272306225821 40.72495970416682),East Village History Project,(212) 614-8702,http://leshp.org/,308 Bowery,,New York,10012,,,,,,,,,
30,POINT (-73.95136760111666 40.793098920789426),El Museo del Barrio,(212) 831-7272,http://www.elmuseo.org/,1230 Fifth Ave,,New York,10029,,,,,,,,,
31,POINT (-74.01133926317924 40.703399275987856),Fraunces Tavern Museum,(212) 425-1778,http://www.frauncestavernmuseum.org/,54 Pearl Street,,New York,10004,,,,,,,,,
32,POINT (-73.96708040539806 40.77105465350546),Frick Collection,(212) 288-0700,http://www.frick.org/,1 E. 70th Street,,New York,10021,,,,,,,,,
33,POINT (-74.07387774290744 40.6151652240151),Garibaldi-Meucci Museum,(718) 442-1608,http://statenislandusa.com/pages/garibaldi.html,420 Tompkins Avenue,,Staten Island,10305,,,,,,,,,
34,POINT (-73.96174204015233 40.77916564085246),Goethe-Institut New York,(212) 439-8700,http://www.goethe.de/ins/us/ney/deindex.htm,1014 Fifth Avenue,,New York,10028,,,,,,,,,
35,POINT (-73.9430684626868 40.77611345003038),Gracie Mansion,(212)-570-4751,http://www.nyc.gov/html/om/html/gracie.html,89th Street at East End Avenue,Carl Schurz Park,New York,10128,,,,,,,,,
36,POINT (-73.91397962918033 40.85874716978858),Hall Of Fame For Great Americans,(718) 289-5161,http://www.bcc.cuny.edu/hallofFame/,Hall of Fame Terrace & Sedgwick Avenue,,Bronx,10453,,,,,,,,,
37,POINT (-74.03231077573365 40.60900866850688),Harbor Defense Museum of Fort Hamilton,(718) 630-4349,http://www.harbordefensemuseum.com/,230 Sheridan Loop,,Brooklyn,11252,,,,,,,,,
